lambda																																																												
	NE	Concen	Agree	OM	Extrovert																																																							
BF1	-0.15512646873843	0.211674339541804	0.100563430915143	-0.0874068485602845	-0.0378607126219059																																																							
BF6	0.00175203806464533	-0.109120559965265	-0.00256371439360887	0.0522510949329332	-0.0040032474277428																																																							
RBF11	0.0774946356593354	0.0638552742145743	0.0162151406792558	0.0644910380389093	-0.02613896541756																																																							
RBF16	0.181624291730804	0.0743809178518782	-0.0368609097842192	0.135570941300876	-0.0268855707277977																																																							
BF21	0.103366892365873	-0.0532788798657077	0.00468589390636647	0.234751780284894	-0.0464410407209916																																																							
RBF26	-0.000207854025695609	-0.00367093742579036	-0.0985835262854006	-0.116294165389749	0.0435523342450087																																																							
RBF31	-0.00772376215935934	-0.146181657701178	-0.14028284438247	0.0167468044701063	0.0559267418621803																																																							
RBF36	0.168352987562352	-0.00962059067036744	0.0360189654985374	0.0156377253323632	-0.101723496145622																																																							
BF41	-0.068	0.044	0.017	0.387669464770335	0.042																																																							
BF46	-0.0412925859998052	0.107142057928356	-0.112002135545731	-0.124560034823333	0.14787441312861																																																							
RBF51	0.0738555756066887	0.227269473771399	0.0239682230960479	0.010174049096799	-0.06953219658434																																																							
BF56	0.17072801848852	0.148304063109968	-0.118243162211739	0.0603957231944687	-0.0031207683558666																																																							
BF2	-0.031	0.204247582710628	0.195	-0.063	0.097																																																							
BF7	0.00807250473408957	0.0358998675738445	-0.116036165118648	0.0478900397046961	0.0365806594759023																																																							
RBF12	-0.0226898376594915	-0.0221421032236313	0.0237162665576821	-0.0222376172033007	-0.0595626739074992																																																							
RBF17	0.223289951265772	-0.0405397033456036	-0.029550574490226	0.0785934764817602	0.0901705057768374																																																							
RBF22	-0.0481723034946997	0.0315896557368603	0.0163239680363868	-0.0883524907085378	-0.0205645534236472																																																							
BF27	0.00344367626087118	0.0477692492916806	0.176763776889495	-0.14538185060678	-0.197173482736633																																																							
BF32	-0.119849847389087	-0.0116601675873106	-0.0663784895241733	-0.0800183815787915	-0.0749824575559																																																							
RBF37	-0.134201795889903	0.216570285533748	0.160591376091045	-0.067829003611015	0.102115095160014																																																							
RBF42	0.335799914118238	-0.045	-0.014	0.07	-0.222																																																							
RBF47	0.211834705118577	0.055557774063688	0.00848456203743064	-0.227169218863869	0.117423712203596																																																							
BF52	0.311831900978739	-0.00360648150484255	0.0776753911320734	0.131339763616775	0.22411448818961																																																							
BF57	0.0306479478291719	-0.0331239027528125	-0.102740640632204	-0.0592501563449513	0.0324006258931102																																																							
